Rd,Fase,Grupo,Data,Hora,Estádio,Mandante,CAM,VIM,VDM,AVM,GM,X,GV,CAV,VIV,VDV,AVV,Visitante,PCM,PCV,TCAM,TCVM,TCAV,TCVV,PM,PV,Informações
1,16 Avos de Final,,29/06/2026,17:30,,Alemanha,,,,,1,x,1,,,,,Paraguai,,,,,,,3,4,
2,16 Avos de Final,,30/06/2026,18:00,,França,,,,,3,x,0,,,,,Suécia,,,,,,,,,
3,16 Avos de Final,,28/06/2026,16:00,,Àfrica do Sul,,,,,0,x,1,,,,,Canadá,,,,,,,,,
4,16 Avos de Final,,29/06/2026,22:00,,Holanda,,,,,1,x,1,,,,,Marrocos,,,,,,,2,3,
5,16 Avos de Final,,02/07/2026,20:00,,Portugal,,,,,2,x,1,,,,,Cróacia,,,,,,,,,
6,16 Avos de Final,,02/07/2026,16:00,,Espanha,,,,,3,x,0,,,,,Áustria,,,,,,,,,
7,16 Avos de Final,,01/07/2026,21:00,,Estados Unidos,,,,,2,x,0,,,,,Bósnia e Herzegovina,,,,,,,,,
8,16 Avos de Final,,01/07/2026,17:00,,Bélgica,,,,,3,x,2,,,,,Senegal,,,,,,,,,
9,16 Avos de Final,,29/06/2026,14:00,,Brasil,,,,,2,x,1,,,,,Japão,,,,,,,,,
10,16 Avos de Final,,30/06/2026,14:00,,Costa do Marfim,,,,,1,x,2,,,,,Noruega,,,,,,,,,
11,16 Avos de Final,,30/06/2026,22:00,,México,,,,,2,x,0,,,,,Equador,,,,,,,,,
12,16 Avos de Final,,01/07/2026,13:00,,Inglaterra,,,,,2,x,1,,,,,RD Congo,,,,,,,,,
13,16 Avos de Final,,03/07/2026,19:00,,Argentina,,,,,3,x,2,,,,,Cabo Verde,,,,,,,,,
14,16 Avos de Final,,03/07/2026,15:00,,Austrália,,,,,1,x,1,,,,,Egito,,,,,,,2,4,
15,16 Avos de Final,,03/07/2026,00:00,,Suíça,,,,,2,x,0,,,,,Argélia,,,,,,,,,
16,16 Avos de Final,,03/07/2026,22:30,,Colômbia,,,,,1,x,0,,,,,Gana,,,,,,,,,
17,Oitavas de Final,,04/07/2026,18:00,,Paraguai,,,,,0,x,1,,,,,França,,,,,,,,,
18,Oitavas de Final,,04/07/2026,14:00,,Canadá,,,,,0,x,3,,,,,Marrocos,,,,,,,,,
19,Oitavas de Final,,06/07/2026,16:00,,Portugal,,,,,0,x,1,,,,,Espanha,,,,,,,,,
20,Oitavas de Final,,06/07/2026,21:00,,Estados Unidos,,,,,1,x,4,,,,,Bélgica,,,,,,,,,
21,Oitavas de Final,,05/07/2026,17:00,,Brasil,,,,,1,x,2,,,,,Noruega,,,,,,,,,
22,Oitavas de Final,,05/07/2026,22:00,,México,,,,,2,x,3,,,,,Inglaterra,,,,,,,,,
23,Oitavas de Final,,07/07/2026,13:00,,Argentina,,,,,3,x,2,,,,,Egito,,,,,,,,,
24,Oitavas de Final,,07/07/2026,17:00,,Suíça,,,,,0,x,0,,,,,Colômbia,,,,,,,4,3,
25,Quartas de Final,,09/07/2026,17:00,,França,,,,,2,x,0,,,,,Marrocos,,,,,,,,,
26,Quartas de Final,,10/07/2026,16:00,,Espanha,,,,,2,x,1,,,,,Bélgica,,,,,,,,,
27,Quartas de Final,,11/07/2026,18:00,,Noruega,,,,,1,x,2,,,,,Inglaterra,,,,,,,,,
28,Quartas de Final,,11/07/2026,22:00,,Argentina,,,,,3,x,1,,,,,Suíça,,,,,,,,,
29,Semifinal,,14/07/2026,16:00,,França,,,,,0,x,2,,,,,Espanha,,,,,,,,,
30,Semifinal,,15/07/2026,16:00,,Inglaterra,,,,,1,x,2,,,,,Argentina,,,,,,,,,
31,Final,,19/07/2026,16:00,,Espanha,,,,,,x,,,,,,Argentina,,,,,,,,,
32,Disputa de 3º lugar,,18/07/2026,18:00,,França,,,,,,x,,,,,,Inglaterra,,,,,,,,,
